96 0.05913s 16.9129FPS
128 0.07473s 13.3820FPS
160 0.07820s 12.7881FPS
192 0.11392s 8.7779FPS
224 0.11843s 8.4439FPS
256 0.15760s 6.3452FPS
288 0.18942s 5.2794FPS
320 0.19262s 5.1917FPS
352 0.22863s 4.3739FPS
384 0.27847s 3.5911FPS
416 0.32573s 3.0701FPS
448 0.31390s 3.1857FPS
480 0.35668s 2.8037FPS
512 0.43252s 2.3120FPS
544 0.50120s 1.9952FPS
576 0.56749s 1.7622FPS
608 0.54112s 1.8480FPS
640 0.63437s 1.5764FPS
672 0.72023s 1.3884FPS
704 0.83319s 1.2002FPS
736 0.79669s 1.2552FPS
768 0.89531s 1.1169FPS
800 0.99584s 1.0042FPS
832 1.13363s 0.8821FPS
useroi 96 0.04756s 21.0263FPS
useroi 128 0.04604s 21.7210FPS
useroi 160 0.05939s 16.8365FPS
useroi 192 0.06550s 15.2668FPS
useroi 224 0.06638s 15.0649FPS
useroi 256 0.06982s 14.3229FPS
useroi 288 0.07350s 13.6061FPS
useroi 320 0.11520s 8.6809FPS
useroi 352 0.10971s 9.1150FPS
useroi 384 0.12454s 8.0295FPS
useroi 416 0.12116s 8.2532FPS
useroi 448 0.16890s 5.9206FPS
useroi 480 0.18023s 5.5486FPS
useroi 512 0.19253s 5.1940FPS
useroi 544 0.20023s 4.9944FPS
useroi 576 0.20532s 4.8705FPS
useroi 608 0.25630s 3.9017FPS
useroi 640 0.27260s 3.6684FPS
useroi 672 0.27960s 3.5766FPS
useroi 704 0.28736s 3.4800FPS
useroi 736 0.36652s 2.7284FPS
useroi 768 0.37246s 2.6848FPS
useroi 800 0.38445s 2.6011FPS
useroi 832 0.40310s 2.4808FPS


